62,76,85,0,87,70,89,69,81,81,71,77,45,70,85,48,93,100,90,83,94,73,98,88,67,99
36,71,10,36,25,47,31,11,62,20,7,28,30,12,46,16,67,60,38,39,25,12,40,43,30,59
97,90,100,98,97,97,90,98,84,98,90,100,92,97,100,99,99,100,99,100,88,96,100,99,91,96
61,89,66,93,73,91,84,77,75,99,57,60,86,66,87,58,96,92,75,98,94,72,91,87,64,95
15,73,30,37,27,53,22,16,68,31,3,9,15,17,35,7,66,70,42,40,47,22,36,17,31,64
46,60,52,61,67,89,64,78,72,72,55,35,63,63,77,35,90,75,52,72,91,44,81,77,46,90
4,34,31,39,15,18,24,4,51,15,3,0,11,24,27,7,39,26,18,29,33,9,39,6,40,30
46,61,61,39,53,58,61,20,60,45,40,23,42,24,58,39,73,54,38,70,57,39,83,52,34,67
9,34,0,24,22,24,38,2,55,26,13,0,7,8,10,2,32,28,9,38,14,4,14,33,30,33
10,58,4,25,9,46,29,6,67,9,25,1,27,21,16,0,33,31,37,49,31,24,34,40,26,19
66,83,50,64,82,86,90,71,69,89,55,59,87,29,74,80,81,70,68,96,88,56,86,68,92,71
8,48,16,45,22,40,23,15,64,27,8,41,3,22,37,10,58,42,39,49,34,19,40,30,25,76
1,28,9,22,7,19,5,1,48,8,0,0,5,2,3,0,26,16,3,31,24,12,10,0,18,15
49,69,61,66,76,82,70,65,73,62,46,47,76,61,80,70,77,79,71,92,87,42,93,70,91,77
96,92,90,88,94,96,87,99,84,78,95,93,89,69,85,99,94,99,88,96,91,94,95,99,94,67
96,100,93,98,83,88,99,99,94,90,99,100,96,93,99,80,89,100,88,100,91,92,100,95,58,71
66,77,73,88,81,91,78,56,77,90,94,45,66,60,67,71,79,97,47,84,94,60,91,73,67,97
67,81,74,92,37,96,91,53,82,73,94,83,58,46,71,38,99,61,80,81,91,96,96,44,94,43
48,47,78,74,39,72,54,28,77,36,51,29,9,25,35,72,55,58,31,70,91,47,69,19,70,58
60,88,68,88,77,95,88,62,72,77,81,83,76,56,96,65,90,92,81,100,96,70,96,63,95,90
47,84,76,96,38,83,82,70,77,24,62,74,41,79,67,42,85,90,64,100,95,60,97,66,78,63
66,87,76,96,92,98,95,63,80,83,72,78,94,78,71,67,78,96,58,93,95,91,95,73,95,69
54,66,76,92,61,95,90,39,70,85,90,78,64,61,89,84,61,90,42,79,94,84,94,51,70,73
62,77,74,94,63,96,85,52,76,92,59,66,62,70,70,76,73,86,61,93,93,64,92,39,70,82
80,90,79,93,59,96,86,99,92,82,94,85,73,59,67,62,96,73,78,100,99,89,91,89,84,86
51,72,66,95,51,99,88,57,86,86,65,67,48,73,42,83,68,63,47,95,91,87,86,59,89,81
56,90,85,94,62,97,85,75,81,88,74,84,49,60,52,75,67,69,76,94,90,79,94,86,92,94
75,79,66,55,61,95,89,63,84,84,79,59,91,71,93,52,79,82,57,99,80,63,93,63,84,88
99,82,94,45,92,97,92,90,86,68,97,100,55,62,71,75,98,89,87,93,94,40,100,100,85,86
37,70,25,41,36,94,84,83,72,77,65,77,41,44,69,20,54,81,49,75,89,40,92,33,58,39
16,55,12,34,7,58,44,38,65,12,67,41,0,17,35,17,40,32,4,58,70,21,29,8,27,33
59,78,67,51,69,85,89,72,79,78,85,44,57,57,90,71,83,68,49,92,77,46,91,75,66,91
83,75,74,69,70,94,94,85,83,62,85,88,79,83,89,74,88,85,71,99,93,88,93,92,60,90
63,88,64,71,58,97,94,82,88,57,67,83,61,69,93,58,80,87,65,98,96,82,97,83,85,51
72,91,77,72,66,98,88,70,83,69,78,93,80,77,78,75,73,83,48,90,95,57,85,54,90,81
64,65,76,63,62,93,85,55,78,69,75,63,22,64,67,59,71,63,42,93,87,91,90,24,77,74
54,80,73,51,87,93,91,85,80,80,81,58,83,75,94,63,84,88,70,96,91,40,92,70,72,87
69,81,43,60,45,97,79,43,76,68,78,57,12,43,80,47,75,71,41,88,93,49,85,70,77,43
52,97,85,76,89,100,95,80,85,89,93,75,89,93,98,91,97,85,83,100,96,87,91,96,90,98
94,88,71,32,92,93,96,80,92,71,100,100,92,73,86,73,100,94,70,81,74,96,89,98,90,93
58,53,53,61,31,59,48,63,85,46,48,61,22,47,60,37,71,78,46,99,68,78,93,28,67,64
94,87,96,68,83,98,91,94,95,85,99,100,94,74,81,79,94,95,76,95,91,88,100,99,69,93
74,93,94,83,61,93,92,91,96,96,82,83,92,70,78,97,96,98,96,100,93,99,97,86,87,93
7,38,39,34,12,51,31,22,78,4,15,0,1,23,30,3,42,34,24,54,57,42,46,21,26,36
53,68,62,63,73,78,74,81,89,93,80,48,74,60,60,57,88,81,51,97,67,93,93,38,82,89
96,93,98,85,86,99,94,79,99,97,98,76,84,92,87,89,96,89,72,100,93,96,99,93,96,99
67,95,91,86,80,99,94,94,92,77,49,74,79,92,83,59,96,74,86,98,87,86,99,51,97,93
71,87,87,87,75,99,81,52,82,87,84,61,84,76,90,93,84,78,66,100,98,87,97,80,95,84
22,56,67,39,21,68,78,53,83,31,15,41,8,40,32,18,80,64,38,83,89,55,78,41,73,49
61,68,93,69,77,92,83,78,92,99,90,52,92,59,77,48,81,69,55,91,93,85,90,73,87,78
52,60,57,73,45,72,80,72,92,78,66,50,14,58,45,27,93,70,70,40,69,52,78,33,72,36
81,66,87,72,73,83,62,75,80,70,75,67,93,56,86,84,71,87,55,87,65,75,92,81,81,79
89,72,55,65,87,76,93,92,97,96,81,100,96,83,79,89,97,93,86,99,94,81,100,61,82,90
