0,10,44,18,41,38,26,3,4,17,11,27,51,8,0,0,29,19,21,1,13,13,73,20,0,2,19,20,11,31
2,34,51,50,20,6,44,26,23,36,27,36,68,5,41,13,43,28,50,45,57,36,85,30,20,3,27,9,18,32
24,59,71,78,34,35,71,56,62,100,68,73,72,92,50,87,75,34,70,29,65,76,94,89,51,24,54,96,65,62
61,80,70,96,86,76,88,49,82,83,82,80,97,93,79,100,87,79,76,100,83,81,94,100,78,93,61,100,45,71
43,70,54,61,88,26,74,39,48,83,54,59,87,84,50,93,50,60,50,73,53,65,91,42,46,52,49,81,56,87
56,94,73,95,100,67,83,100,28,99,90,88,99,93,100,100,100,56,70,85,71,78,94,94,91,97,56,83,91,82
2,20,68,20,51,48,0,0,30,21,31,0,22,2,10,4,13,36,29,36,30,21,73,0,44,10,17,19,9,0
66,90,74,97,100,89,87,89,67,63,66,83,88,96,69,87,91,36,69,81,90,46,97,83,75,93,94,91,86,85
49,58,58,62,52,57,73,58,77,73,81,65,92,85,83,82,81,58,62,60,49,43,88,71,65,41,63,75,32,83
20,27,65,35,22,13,16,31,15,39,40,27,40,54,35,45,35,18,21,31,47,38,46,40,28,4,47,28,17,7
98,98,54,96,98,96,100,91,96,100,97,95,100,97,100,87,100,95,88,96,100,97,97,92,96,100,90,94,82,100
30,49,68,47,24,20,56,52,13,34,77,33,40,53,50,61,5,28,26,42,34,45,46,41,17,10,9,50,24,23
5,9,39,32,8,8,4,38,5,15,8,8,11,8,9,8,13,28,8,9,30,17,30,18,36,10,0,11,6,9
25,17,50,45,6,11,18,9,11,29,31,40,39,37,20,31,27,33,11,28,40,34,28,30,23,6,6,23,2,22
9,2,36,17,1,3,0,15,0,0,3,4,7,22,4,0,3,11,2,0,14,6,13,11,0,0,0,0,2,7
9,17,33,36,4,7,25,43,20,18,25,22,43,7,40,51,21,39,25,36,25,34,43,54,8,10,10,25,3,8
50,47,67,56,38,26,69,60,54,39,22,53,42,81,15,26,48,70,23,60,52,51,82,29,44,28,4,30,28,49
79,97,58,81,86,57,91,100,91,91,79,100,99,96,93,100,93,100,81,93,89,89,97,100,98,91,100,100,69,93
46,60,70,48,40,24,47,75,43,73,50,61,86,63,61,44,46,20,38,72,56,81,73,68,49,58,54,70,29,57
68,86,73,78,70,51,81,100,71,86,56,69,82,83,80,86,69,63,53,95,72,79,82,75,76,72,52,81,36,69
0,9,44,22,0,11,4,0,0,33,6,0,25,1,0,1,8,22,5,0,23,15,18,0,13,0,18,6,0,0
80,88,60,70,83,66,84,100,93,88,91,87,92,98,95,98,82,71,74,100,81,91,100,82,82,88,97,69,67,88
55,80,58,51,79,58,79,89,45,97,66,50,84,65,70,90,67,35,53,71,67,86,85,80,71,51,32,79,44,85
21,71,79,73,100,86,42,58,85,38,62,24,46,55,53,27,46,33,40,9,44,71,97,8,33,34,12,52,49,15
82,90,100,97,65,98,100,31,47,100,45,73,86,85,84,100,98,57,59,56,60,67,94,80,74,46,76,91,68,99
29,79,93,94,26,95,85,70,91,49,52,38,100,100,90,74,88,45,70,85,49,83,100,21,92,97,73,80,97,91
30,21,73,54,0,77,20,54,65,25,41,11,81,18,48,8,32,35,53,89,24,62,88,68,29,34,51,83,47,0
32,31,69,46,45,87,51,31,44,30,55,57,36,86,60,14,69,41,50,32,31,45,97,78,34,37,49,91,40,95
7,13,48,63,7,87,8,21,11,26,29,21,30,5,42,0,19,19,24,36,22,15,85,27,23,25,44,8,26,0
15,20,73,42,42,80,29,73,51,22,22,6,47,71,68,18,32,25,76,16,18,41,85,55,52,13,48,0,47,2
67,76,91,93,7,97,44,65,89,85,75,65,82,89,94,69,61,85,53,100,99,97,88,93,78,85,80,90,92,91
63,33,58,51,74,93,61,22,69,24,24,34,50,75,68,62,76,42,31,98,9,42,94,74,69,58,44,81,73,98
84,54,86,88,88,93,85,74,79,95,97,88,97,85,92,64,80,62,85,25,56,77,94,85,48,61,91,100,95,95
98,99,91,98,96,100,96,100,100,84,96,93,88,89,100,100,99,95,91,97,74,99,100,100,98,100,99,91,88,100
56,49,100,45,50,83,17,93,38,28,54,0,48,99,76,39,52,30,85,67,80,78,82,0,42,52,35,27,49,12
58,80,95,91,85,100,97,65,96,92,63,100,67,100,97,80,91,62,75,98,91,83,100,85,90,43,75,84,54,99
31,83,97,66,62,95,72,13,79,69,35,44,56,96,65,47,82,69,85,51,66,70,100,76,84,55,37,93,47,100
34,27,69,61,24,48,56,5,67,36,49,13,30,38,0,35,4,27,79,16,33,55,91,15,35,43,39,7,28,29
35,80,52,84,82,95,100,85,51,98,68,76,99,89,40,99,78,72,84,71,64,45,94,62,40,65,63,100,75,83
45,64,73,55,100,67,63,14,76,76,48,39,55,86,50,71,11,71,50,32,44,94,94,42,55,76,38,42,84,54
0,3,65,27,0,19,0,0,9,68,38,0,54,20,9,0,6,16,61,57,7,14,76,4,19,10,35,6,32,0
51,35,46,59,80,56,50,44,46,55,41,60,88,83,56,45,88,40,52,41,38,50,94,80,35,52,51,94,66,79
29,40,91,43,16,44,22,33,22,85,47,46,67,43,30,5,29,35,25,62,43,20,91,23,25,43,51,19,71,22
20,56,58,46,10,34,52,65,25,37,24,31,95,38,60,28,5,41,26,68,71,67,91,34,15,70,51,27,55,22
46,86,62,74,95,91,73,68,61,57,100,81,87,62,79,80,78,71,74,46,61,88,94,49,91,85,53,69,85,79
44,94,85,86,99,79,58,93,58,91,55,88,97,93,95,99,65,87,84,85,80,80,94,87,86,94,43,53,84,89
22,50,75,76,84,92,64,84,72,85,36,70,89,96,85,86,56,76,52,80,51,67,94,89,83,67,36,84,68,78
90,63,69,93,65,89,94,88,37,92,47,57,15,59,75,68,99,21,85,7,16,25,97,28,60,100,82,43,97,80
12,92,79,100,22,60,11,61,80,69,57,24,34,72,41,8,22,64,61,73,88,60,88,0,47,64,52,0,47,35
86,98,95,95,96,95,37,91,82,100,73,100,100,95,100,94,83,100,80,52,93,96,100,100,100,98,74,84,95,91
61,68,73,78,86,94,75,54,55,36,67,49,95,87,65,55,69,77,59,50,49,73,94,77,65,61,48,80,77,96
27,18,48,56,21,38,40,9,29,8,37,18,31,14,0,9,5,15,22,23,10,35,82,21,18,16,24,0,24,6
62,48,86,67,93,59,61,69,49,32,62,43,62,73,50,18,71,34,57,56,47,44,91,50,63,55,46,58,69,64
20,21,83,28,71,38,42,13,18,26,40,25,21,21,4,39,20,22,27,15,26,52,85,15,23,22,27,31,53,20
0,2,45,34,0,16,33,0,8,2,43,0,58,4,23,17,8,20,21,33,5,10,53,0,2,10,19,32,18,0
12,24,72,79,81,65,59,50,24,55,59,100,57,17,40,25,10,11,42,30,30,38,97,58,55,34,30,25,75,11
71,65,90,59,100,63,75,52,96,80,100,81,92,81,82,86,71,88,90,54,81,63,91,75,40,91,89,77,87,32
17,41,70,45,13,45,22,9,51,35,73,38,71,53,51,3,53,64,44,58,56,32,91,40,9,55,49,76,80,23
74,89,93,94,74,91,86,53,74,92,92,70,94,93,95,93,71,89,85,100,59,74,94,95,91,96,72,94,96,81
80,80,97,99,99,84,100,79,90,97,96,100,96,96,90,98,80,25,92,97,72,91,100,100,96,67,62,88,78,100
67,83,62,96,87,86,92,87,99,94,92,49,96,92,100,94,98,83,73,84,79,59,97,78,71,70,51,100,73,86
87,99,94,90,95,81,58,95,100,88,56,75,84,99,90,89,98,22,57,64,50,58,94,80,87,91,82,62,51,96
49,30,89,51,33,59,57,29,42,13,29,50,44,23,30,15,31,29,28,45,42,49,85,26,34,16,36,40,56,0
54,88,100,95,96,85,45,89,63,100,71,85,56,80,80,68,74,29,59,92,66,90,94,53,82,91,83,24,76,82
20,61,76,90,84,82,75,23,42,31,50,64,53,73,59,44,47,33,46,49,40,54,91,73,68,58,49,52,38,55
